Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email 
Зарудний,Віталій,,Чоловік,1966-04-04,Антрополог,хутір Мена ,"узвіз Куликове поле, буд. 1, Хмельницький, 85724",957-05-49,orest75@example.org
Гавриш,Тарас,,Чоловік,1997-04-11,Публіцист,хутір Федорівка,"набережна Степна, буд. 173 кв. 267, Павлоград, 08485",090 754 81 00,borys64@example.net
Запорожець,Теодор,,Чоловік,1993-11-10,Менеджер,селище Торецьк,"узвіз 5-та Суворовська, буд. 101 кв. 96, Іловайськ, 31520",245-27-65,alina49@example.com
Ващенко,Леонід,,Чоловік,1991-02-23,Маркетолог,місто Татарбунари,"сквер Сурикова 2-й, буд. 189, Бахмут, 35902",623 12 99,abramchukzlatoslava@example.com
Захаренко,Пармен,,Чоловік,1954-08-20,Педагог,місто Селидове,"парк Степна, буд. 52 кв. 93, Чорноморськ, 24357",+380 03 371 75 71,myron71@example.org
Щорс,Леонтій,,Чоловік,1951-02-02,Мікробіолог,село Деражня,"шосе Куликове поле, буд. 935, Дружківка, 49151",+380 41 507-74-27,leopoldnikoliuk@example.net
Алексеєнко,Мирон,,Чоловік,1938-08-24,Фермер,село Долинська,"узвіз Стеценко, буд. 034 кв. 0, Шостка, 71913",+380 (34) 935-26-72,hilienko@example.org
Вакуленко,Миколай,,Чоловік,1971-10-15,Антрополог,селище Моршин,"шосе Трудовий, буд. 4 кв. 1, Косів, 31077",+380 27 532-78-83,tetianadashkevych@example.net
Петлюра,Демид,,Чоловік,2003-10-04,Ґрунтознавець,селище Новоград-Волинський,"узвіз Чернігівський, буд. 135, Нове Давидково, 15698",615 87 28,bezborodkosofiia@example.net
Шиян,Вʼячеслав,,Чоловік,1974-05-24,Провізор,хутір Соледар,"площа Семафорний, буд. 93 кв. 9, Слов'янськ, 14075",+380 22 999-10-73,izhakevychhalyna@example.org
Франчук,Лукʼян,,Чоловік,1988-01-08,Швачка,хутір Берегове,"шосе Чернівецький, буд. 638 кв. 57, Дрогобич, 52421",+380 (79) 650-84-05,rdzhus@example.com
Жук,Пилип,,Чоловік,1978-03-06,Художник,місто Маріуполь,"площа Молодіжна, буд. 10, Добромиль, 54206",+380 21 326-96-71,zakhar01@example.com
Черінько,Валентин,,Чоловік,2007-10-05,Мікробіолог,село Сєвєродонецьк,"узвіз Віри Фігнер, буд. 6, Нова Одеса, 31786",041-37-92,oleksalemeshko@example.com
Кабаненко,Дан,,Чоловік,1982-12-05,Фольклорист,хутір Тернопіль,"набережна Маріїнська, буд. 80, Лисичанськ, 31780",672 63 00,nadiia75@example.net
Онищенко,Лесь,,Чоловік,1961-01-20,Професор,село Новомиргород,"узвіз Магнітогорський, буд. 723 кв. 757, Камінь-Каширський, 47353",+380 98 374-71-54,violettateslia@example.com
Ісаєнко,Прохір,,Чоловік,1987-12-23,Кінокритик,місто Рогатин,"узвіз Пироговська, буд. 41, Жмеринка, 18805",085 366-74-66,albinakhorishko@example.net
Оробець,Лесь,,Чоловік,1986-12-31,Режисер,селище Бровари,"сквер Ткачова, буд. 81, Красногорівка, 85897",075 754-95-52,pshtokalo@example.com
Баранець,Антон,,Чоловік,1956-10-26,Випробувач,хутір Знам'янка,"сквер Морехідний, буд. 551, Моспине, 40116",+380 78 417 86 57,ievavovk@example.org
Нестайко,Макар,,Чоловік,1947-10-01,Льотчик,хутір Березівка,"шосе Кристаловського, буд. 691, Борщів, 04882",+380 18 986-16-19,dannavyshniak@example.com
Ґереґа,Володимир,,Чоловік,1992-11-08,Дантист,село Боково-Хрустальне,"узвіз Асєєва Юрія, буд. 4 кв. 3, Довжанськ, 38553",+380 01 945 96 93,nbhydenko@example.org
Лесик,Максим,,Чоловік,1995-11-21,Няня,село Глиняни,"площа Флотський 4-й, буд. 81, Корюківка, 81325",313 25 12,danchukokhrim@example.org
Забашта,Теодор,,Чоловік,1982-01-16,Педагог,хутір Лозова ,"парк Профспілкова, буд. 901, Надвірна, 64788",+380 24 119 32 62,onysym00@example.com
Ґжицький,Омелян,,Чоловік,1966-12-18,Музикознавець,село Олешки,"провулок Троїцька, буд. 373 кв. 634, Лебедин, 97903",+380 10 719-81-10,fneporozhnii@example.org
Василечко,Феофан,,Чоловік,1971-01-11,Пілот,село Борислав,"вулиця Західний 2-й, буд. 202, Українськ, 42583",+380 64 997 91 82,frants62@example.com
Верес,Ігнат,,Чоловік,1963-11-25,Гінеколог,місто Долина ,"проспект Суворовська, буд. 49 кв. 0, Почаїв, 93386",020 160 53 46,zbatiuk@example.org
Забара,Азар,,Чоловік,1998-08-24,Адвокат,хутір Очаків,"провулок Академіка Заболотного, буд. 03 кв. 3, Любомль, 47196",535-29-16,iaroslavagoliash@example.net
Ґалаґан,Вʼячеслав,,Чоловік,2000-06-03,Фізик,місто Саки ,"узвіз Приморський, буд. 53 кв. 67, Бердичів, 44930",069 108-66-61,udovenkohlib@example.com
Перепелиця,Венедикт,,Чоловік,2006-03-31,М'ясник,село Соледар,"набережна Шевченка, буд. 174 кв. 21, Середина-Буда, 45374",+380 44 943-05-00,myroslavarkhymovych@example.net
Шведченко,Трохим,,Чоловік,1945-12-24,Дипломат,селище Христинівка,"парк Рибальська балка, буд. 0, Біляївка, 60369",+380 97 699-00-35,tetiana27@example.net
Василечко,Юстим,,Чоловік,1967-07-17,Журналіст,хутір Київ,"парк Овідіопольська, буд. 67, Судак , 83550",+380 54 488 61 65,anastasiia71@example.com
Савенко,Алевтин,,Чоловік,1956-03-16,Доцент,селище Самбір,"площа Івана Микитенка, буд. 2 кв. 85, Березне, 46923",058 123-70-60,xzhurba@example.com
Юрчишина,Франц,,Чоловік,1973-04-14,Нотаріус,хутір Чигирин,"проспект Моторна, буд. 296, Знам'янка, 08055",523-06-50,datsiukvioletta@example.org
Дейсун,Лесь,,Чоловік,1971-06-25,Музикознавець,селище Деражня,"проспект Некрасова, буд. 595 кв. 31, Червоноград, 26065",061 802 06 87,zlatoslava54@example.net
Приходько,Костянтин,,Чоловік,1982-01-18,Маркетолог,місто Скадовськ,"набережна Асташкіна, буд. 47 кв. 35, Вовчанськ, 91113",+380 29 283-97-72,ndrozd@example.net
Шиян,Микита,,Чоловік,1961-08-19,Архітектор,хутір Монастирище,"вулиця Чернігівська, буд. 83 кв. 067, Красноперекопськ, 83207",+380 22 723-39-03,nestordavymuka@example.org
Лукаш,Олександр,,Чоловік,1972-08-15,Фізик,селище Краматорськ,"вулиця Пляжна, буд. 0 кв. 76, Дрогобич, 30364",318-21-14,eliashko@example.net
Жадан,Болеслав,,Чоловік,1971-07-02,Фермер,місто Дунаївці,"набережна Середньофонтанська, буд. 48 кв. 52, Роздільна, 83752",+380 20 922-17-43,venedyktnesterenko@example.com
Їжакевич,Миколай,,Чоловік,1970-01-07,Мовознавець,хутір Устилуг,"провулок Рівності 2-й, буд. 5, Пирятин, 74626",+380 43 129-95-71,ydutka@example.org
Бездітко,Орхип,,Чоловік,1979-08-12,Випробувач,селище Нікополь,"сквер Виставочна, буд. 33, Вільногірськ, 07208",+380 63 429-02-05,bonufriienko@example.org
Вівчаренко,Петро,,Чоловік,1949-03-17,Електрослюсар,хутір Тернопіль,"парк Деревообробний 2-й, буд. 440, Перечин, 42111",438 67 30,uakymenko@example.net
Жадан,Богодар,,Чоловік,1984-11-08,Історик,місто Марганець ,"парк Залізничний 3-й, буд. 898 кв. 149, Білозерське, 42501",137 58 94,snizhanaandrusenko@example.com
Гузенко,Едуард,,Чоловік,1954-01-20,Гицель,хутір Сімферополь,"набережна Куниці, буд. 2, Березівка, 53726",+380 02 726-00-47,sandriievych@example.net
Михайлюк,Олекса,,Чоловік,1946-04-29,Антрополог,селище Підгайці,"шосе Восьмого Березня Лінія 2-га, буд. 9 кв. 6, Світлодарськ, 34663",226 11 03,vabramenko@example.org
Твердохліб,Феофан,,Чоловік,1971-07-28,Піаніст,село Балаклія,"вулиця Пересипська 6-та, буд. 58, Угнів, 66309",734 94 49,nadiia84@example.com
Бабариченко,Августин,,Чоловік,2007-05-03,Штукатур,село Устилуг,"шосе Дерибасівська, буд. 99 кв. 650, Борщів, 17471",+380 (17) 616-05-83,varvara70@example.com
Самойленко,Пантелеймон,,Чоловік,1967-03-08,Кіноактор,місто Новоград-Волинський,"провулок Віцеадмірала Жукова, буд. 170 кв. 834, Ніжин, 08228",+380 14 270-44-81,tymchukillia@example.com
